,FIPS,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-14-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020,05-02-2020,05-03-2020,05-04-2020
0,17031,4.354,5.981,5.934,6.051,6.236000000000001,6.55,5.524,4.273,5.417999999999999,5.858,5.837999999999999,5.818,5.755,3.4539999999999997,2.065,3.551,2.214,1.3130000000000002,1.281,2.0180000000000002,0.08900000000000001,0.027999999999999997,0.054000000000000006,0.092,0.33899999999999997,0.053,0.126,0.037000000000000005,0.028999999999999998,0.052000000000000005,0.048,0.098,0.19,0.42700000000000005,0.043,0.034,0.057999999999999996,0.244,0.057999999999999996,0.051,0.32,0.069,0.032,0.046,0.045,0.044000000000000004,0.08900000000000001,0.075,0.161,0.042,0.449,0.385,0.498,0.602,0.047,0.06,0.311,0.539,0.098,0.614,1.882,1.4040000000000001,0.467,0.179
1,17197,6.422000000000001,9.834,10.169,10.096,10.606,11.186,9.437000000000001,6.486000000000001,9.01,9.889,9.874,9.703,9.454,5.732,3.53,6.814,4.755,3.531,3.359,4.78,1.227,0.036000000000000004,0.573,0.956,1.7180000000000002,0.9259999999999999,1.59,0.106,0.040999999999999995,0.927,0.956,1.3259999999999998,1.703,2.065,0.433,0.14400000000000002,1.092,1.557,1.4140000000000001,1.261,2.622,1.2919999999999998,0.05,0.996,1.109,1.1079999999999999,1.9409999999999998,1.642,1.6869999999999998,0.51,2.678,3.097,3.2060000000000004,3.3539999999999996,0.879,0.9059999999999999,2.55,2.89,2.222,2.8560000000000003,4.396,3.0239999999999996,1.834,2.263
2,17043,5.297999999999999,7.1979999999999995,7.415,7.318,7.678,8.111,6.632999999999999,5.062,6.691,7.119,7.303999999999999,7.079,6.6979999999999995,3.915,2.457,4.166,2.909,1.9380000000000002,1.814,2.9360000000000004,0.397,0.033,0.083,0.298,0.631,0.128,0.38,0.048,0.034,0.254,0.126,0.433,0.6459999999999999,0.8959999999999999,0.084,0.051,0.27699999999999997,0.504,0.316,0.222,0.904,0.49,0.04,0.091,0.11699999999999999,0.07400000000000001,0.486,0.47100000000000003,0.652,0.10800000000000001,0.9890000000000001,0.915,1.22,1.34,0.11199999999999999,0.303,0.807,0.9490000000000001,0.42700000000000005,1.0190000000000001,2.5140000000000002,1.814,1.111,0.612
3,01073,7.8660000000000005,9.433,9.951,9.697000000000001,10.07,11.855,10.639000000000001,8.125,10.021,10.026,10.005,10.589,11.042,8.355,5.164,8.311,6.892,6.0489999999999995,6.415,6.813,3.971,1.724,3.2539999999999996,4.082,4.46,4.66,4.993,3.335,1.922,3.767,3.225,4.546,4.677,5.2379999999999995,3.595,0.623,3.27,2.991,3.292,4.034,5.193,3.9139999999999997,0.045,4.102,4.442,4.838,5.231,6.017,4.391,0.067,5.3260000000000005,4.994,4.192,6.205,4.703,2.594,5.254,5.5360000000000005,4.8919999999999995,6.667000000000001,8.802,6.388,4.779,6.255
4,26161,4.7010000000000005,7.306,7.827999999999999,7.428,8.236,8.716000000000001,6.6770000000000005,4.691,6.605,6.609,6.611000000000001,6.497999999999999,6.638999999999999,3.032,1.771,4.03,2.371,1.6119999999999999,1.7380000000000002,2.5140000000000002,0.07400000000000001,0.044000000000000004,0.568,0.037000000000000005,0.084,0.042,0.047,0.031,0.032,0.036000000000000004,0.04,0.042,0.07400000000000001,0.19,0.042,0.038,0.039,0.04,0.05,0.035,0.04,0.04,0.027000000000000003,0.03,0.034,0.032,0.036000000000000004,0.032,0.036000000000000004,0.032,0.045,0.046,0.05,0.22,0.046,0.043,0.192,0.344,0.068,0.129,1.9140000000000001,0.899,0.5920000000000001,0.239
5,26163,3.0810000000000004,6.122000000000001,6.178,6.3260000000000005,6.4879999999999995,6.737,5.021,3.159,6.005,5.934,6.144,5.877999999999999,5.372000000000001,2.445,0.9309999999999999,3.097,2.055,1.2329999999999999,1.08,1.288,0.047,0.036000000000000004,0.17300000000000001,0.031,0.04,0.034,0.037000000000000005,0.027000000000000003,0.027999999999999997,0.031,0.031,0.033,0.042,0.047,0.032,0.03,0.034,0.033,0.042,0.032,0.034,0.033,0.026000000000000002,0.027999999999999997,0.033,0.032,0.035,0.032,0.034,0.03,0.040999999999999995,0.044000000000000004,0.045,0.11199999999999999,0.045,0.035,0.08,0.18100000000000002,0.047,0.096,1.123,0.562,0.27399999999999997,0.081
6,36029,2.346,4.948,5.04,5.023,5.407,5.428,4.208,2.707,4.96,5.008,5.053999999999999,5.354,5.06,3.2030000000000003,1.214,3.3339999999999996,2.2030000000000003,1.304,1.131,1.0959999999999999,0.044000000000000004,0.036000000000000004,0.042,0.045,0.071,0.06,0.128,0.033,0.034,0.035,0.04,0.05,0.057999999999999996,0.055,0.042,0.034,0.048,0.055999999999999994,0.045,0.038,0.04,0.037000000000000005,0.031,0.031,0.043,0.04,0.04,0.047,0.039,0.027999999999999997,0.055,0.078,0.07400000000000001,0.37799999999999995,0.11,0.028999999999999998,0.149,0.19399999999999998,0.133,0.11199999999999999,0.628,0.556,0.532,0.096
7,25027,3.88,7.312,7.124,7.365,7.791,8.326,6.2589999999999995,3.9960000000000004,7.063,7.202000000000001,7.172000000000001,7.216,6.218999999999999,3.98,1.825,3.6830000000000003,2.108,2.039,1.601,2.819,0.46,0.076,0.37,0.086,0.057,0.33299999999999996,0.5920000000000001,0.061,0.031,0.052000000000000005,0.094,0.09,0.079,0.055999999999999994,0.059000000000000004,0.043,0.14800000000000002,0.382,0.061,0.043,0.276,0.084,0.037000000000000005,0.036000000000000004,0.272,0.135,0.107,0.396,0.032,0.051,0.24600000000000002,0.74,1.222,0.575,0.713,0.042,0.07,0.968,1.2890000000000001,0.534,1.439,1.642,1.232,0.978
8,01097,7.37,9.452,9.482000000000001,8.865,9.899,11.300999999999998,9.834,7.438,9.418,9.662,9.802,10.333,11.06,8.311,6.332000000000001,9.016,8.057,7.12,7.138,7.683,4.561,2.682,5.915,5.896,5.577999999999999,5.8,6.444,4.058,2.0980000000000003,4.601,4.208,5.276,5.178999999999999,5.766,3.193,0.758,4.129,4.133,4.515,5.052,5.48,3.5780000000000003,0.26,4.605,4.729,5.129,5.43,6.145,3.6510000000000002,1.102,5.874,6.122999999999999,3.977,6.972,5.001,3.11,5.69,6.279,4.796,7.412999999999999,8.469,6.7589999999999995,5.437,6.888999999999999
9,25013,2.887,4.829,4.952,4.981,5.19,5.572,4.315,3.068,4.8069999999999995,4.936,4.851,5.111000000000001,4.873,2.951,1.232,3.162,1.8659999999999999,1.972,1.416,2.24,0.14800000000000002,0.049,0.081,0.084,0.08900000000000001,0.40399999999999997,0.8079999999999999,0.047,0.03,0.055,0.077,0.363,0.092,0.1,0.05,0.039,0.19,0.196,0.078,0.052000000000000005,0.235,0.053,0.034,0.036000000000000004,0.171,0.4,0.18600000000000003,0.564,0.036000000000000004,0.052000000000000005,0.17600000000000002,0.77,1.124,0.424,0.5660000000000001,0.039,0.135,0.887,1.166,0.389,1.568,1.524,1.186,0.992
10,25009,3.7460000000000004,5.978,6.295,6.105,6.306,6.891,5.61,4.023,5.886,6.066,5.954,5.836,5.228,3.263,1.989,3.2239999999999998,1.818,1.896,1.391,2.61,0.6559999999999999,0.20800000000000002,0.528,0.20600000000000002,0.106,0.396,0.7709999999999999,0.151,0.031,0.047,0.17800000000000002,0.075,0.053,0.047,0.205,0.040999999999999995,0.24,0.302,0.063,0.04,0.395,0.253,0.039,0.031,0.326,0.135,0.085,0.599,0.035,0.066,0.268,0.49,1.057,0.324,0.8490000000000001,0.043,0.05,0.5710000000000001,1.046,0.574,0.924,1.318,1.183,0.807
11,36119,3.903,6.522,6.386,6.47,6.961,6.893,5.1339999999999995,3.342,5.903,5.899,5.791,5.183,4.659,3.025,1.579,2.7430000000000003,1.618,1.435,1.1340000000000001,1.756,0.447,0.055999999999999994,0.032,0.076,0.043,0.11599999999999999,0.28,0.034,0.027000000000000003,0.04,0.044000000000000004,0.057999999999999996,0.053,0.040999999999999995,0.07,0.038,0.055999999999999994,0.066,0.044000000000000004,0.034,0.052000000000000005,0.061,0.032,0.027000000000000003,0.07,0.057999999999999996,0.061,0.11599999999999999,0.037000000000000005,0.048,0.059000000000000004,0.16699999999999998,0.125,0.07400000000000001,0.52,0.03,0.066,0.556,0.136,0.048,0.486,1.1079999999999999,0.7559999999999999,0.306
12,25005,4.226,6.776,7.148,6.824,7.37,7.898,5.602,4.204,6.95,7.21,7.002000000000001,6.77,6.403,4.297,2.2769999999999997,4.251,2.6060000000000003,2.8760000000000003,2.22,3.5589999999999997,1.085,0.28,1.4240000000000002,0.653,0.35200000000000004,0.9740000000000001,1.6840000000000002,0.303,0.033,0.213,0.462,0.474,0.488,0.218,0.109,0.05,0.7020000000000001,1.104,0.196,0.063,1.062,0.7879999999999999,0.045,0.036000000000000004,1.069,0.44799999999999995,0.7509999999999999,1.435,0.040999999999999995,0.147,0.88,1.7109999999999999,1.808,0.9109999999999999,1.604,0.043,0.568,1.885,1.9409999999999998,1.5619999999999998,2.0,2.449,1.8980000000000001,1.6480000000000001
13,25021,4.176,6.716,6.507000000000001,6.362,7.01,7.506,5.922000000000001,4.1530000000000005,6.505,6.4239999999999995,6.388,5.96,5.147,3.483,1.935,2.787,1.1079999999999999,1.266,0.47200000000000003,1.939,0.376,0.077,0.076,0.055999999999999994,0.047,0.085,0.332,0.078,0.027999999999999997,0.039,0.063,0.047,0.045,0.037000000000000005,0.067,0.038,0.062,0.11199999999999999,0.043,0.034,0.094,0.07200000000000001,0.035,0.027999999999999997,0.076,0.047,0.048,0.10099999999999999,0.03,0.044000000000000004,0.053,0.07,0.228,0.057999999999999996,0.364,0.033,0.037000000000000005,0.192,0.337,0.085,0.436,0.812,0.611,0.155
14,04013,5.3870000000000005,8.437999999999999,8.546,8.673,9.138,9.712,7.912999999999999,5.561,8.211,8.162,7.876,7.57,7.8839999999999995,5.813,3.8369999999999997,6.367000000000001,5.399,3.986,3.372,4.494,1.933,0.755,2.425,2.174,2.296,2.039,2.385,1.114,0.293,1.5930000000000002,1.575,0.95,1.178,1.79,0.762,0.069,0.915,1.037,1.031,1.13,2.094,0.785,0.046,1.0,1.156,1.6280000000000001,1.8019999999999998,2.597,1.341,0.27399999999999997,1.244,1.3719999999999999,1.432,1.84,0.8809999999999999,0.07,1.097,1.327,1.54,2.0269999999999997,3.742,1.974,0.856,1.444
15,18097,4.598,6.722,7.166,7.184,7.513999999999999,7.836,5.99,4.77,6.672999999999999,6.938,6.98,7.142,6.976,3.242,2.055,4.89,4.05,3.07,2.98,3.458,0.696,0.055,1.906,1.124,0.382,0.44,0.47600000000000003,0.052000000000000005,0.042,0.348,0.19899999999999998,0.35700000000000004,0.745,1.3359999999999999,0.08900000000000001,0.046,0.514,0.831,0.777,0.525,1.369,0.313,0.038,0.20800000000000002,0.517,0.518,0.6679999999999999,0.782,0.652,0.051,2.089,2.702,1.65,2.66,0.754,0.08199999999999999,2.285,2.548,1.811,2.826,4.502,3.407,0.9159999999999999,2.412
16,18057,6.312,8.714,9.229,9.171,9.503,9.958,8.302,6.1,8.344,8.766,9.061,8.4,7.813,4.482,3.11,5.8839999999999995,4.243,3.1060000000000003,3.344,4.132,1.643,0.24600000000000002,2.123,1.6340000000000001,0.677,0.722,0.49200000000000005,0.17600000000000002,0.055999999999999994,0.5539999999999999,0.584,0.51,1.445,1.893,0.542,0.085,1.073,1.354,1.37,0.915,2.137,1.4140000000000001,0.040999999999999995,0.754,0.797,0.6859999999999999,1.294,1.7790000000000001,1.96,0.478,2.215,3.0410000000000004,1.912,3.6,2.031,0.47700000000000004,3.031,3.0580000000000003,2.4459999999999997,2.41,4.341,3.9139999999999997,1.952,3.17
17,18089,4.742,7.041,7.532,7.1,7.4,8.043,6.734,4.821000000000001,6.474,6.874,6.934,7.291,7.518,4.5969999999999995,2.7769999999999997,5.341,4.103,3.029,2.932,3.696,0.556,0.045,1.444,1.4980000000000002,1.064,0.696,1.2890000000000001,0.06,0.037000000000000005,0.6709999999999999,0.569,1.07,1.367,1.9140000000000001,0.08,0.05,1.048,1.3330000000000002,1.262,0.794,1.38,0.594,0.040999999999999995,0.669,0.9209999999999999,0.81,1.568,0.929,0.856,0.11199999999999999,2.48,2.3409999999999997,2.5610000000000004,2.56,0.43,0.311,2.235,2.622,1.635,2.399,4.104,3.142,1.605,2.22
18,17097,5.763999999999999,8.698,8.581,8.797,9.093,9.452,8.199,5.872999999999999,8.113,8.746,8.635,8.165,7.8660000000000005,4.725,2.926,4.843999999999999,3.34,2.227,2.166,3.51,0.43799999999999994,0.037000000000000005,0.086,0.33899999999999997,0.982,0.161,0.491,0.047,0.036000000000000004,0.128,0.16699999999999998,0.376,0.611,0.877,0.128,0.069,0.324,0.645,0.308,0.263,1.084,0.716,0.044000000000000004,0.158,0.114,0.302,0.619,0.7559999999999999,0.961,0.21100000000000002,1.12,0.98,1.39,1.585,0.28800000000000003,0.556,0.991,1.0,0.636,1.126,2.966,2.339,1.695,0.815
19,34017,1.768,3.64,3.623,3.6660000000000004,3.762,3.763,2.7960000000000003,1.724,3.522,3.385,3.392,3.306,2.9419999999999997,1.584,0.40399999999999997,1.3519999999999999,0.41200000000000003,0.386,0.183,0.389,0.032,0.022000000000000002,0.024,0.032,0.026000000000000002,0.03,0.031,0.02,0.017,0.024,0.023,0.025,0.026000000000000002,0.024,0.022000000000000002,0.019,0.024,0.025,0.022000000000000002,0.021,0.022000000000000002,0.021,0.018000000000000002,0.018000000000000002,0.025,0.023,0.024,0.025,0.02,0.019,0.026000000000000002,0.03,0.03,0.027999999999999997,0.027999999999999997,0.018000000000000002,0.025,0.034,0.027999999999999997,0.027000000000000003,0.036000000000000004,0.044000000000000004,0.028999999999999998,0.03
20,32031,3.4189999999999996,6.667999999999999,6.6770000000000005,6.622000000000001,6.992000000000001,7.2379999999999995,5.5360000000000005,4.506,6.406000000000001,6.805,6.731,6.986000000000001,7.32,4.082,2.353,5.457999999999999,4.013999999999999,3.648,2.9530000000000003,4.096,0.763,0.54,1.8980000000000001,1.486,1.975,1.6869999999999998,2.633,0.5489999999999999,0.06,1.32,1.56,1.484,1.734,2.247,0.268,0.035,0.643,0.764,1.348,1.214,2.369,0.718,0.043,1.296,1.537,1.788,2.226,2.588,1.038,0.128,1.337,1.5090000000000001,1.4380000000000002,1.7519999999999998,0.528,0.212,1.278,1.555,1.7719999999999998,2.191,3.676,1.652,1.526,2.262
21,36001,2.616,4.68,4.7780000000000005,4.486000000000001,5.129,5.428,3.992,2.55,4.742,4.672,4.8,4.96,4.958,2.39,0.899,2.908,1.515,1.08,0.792,1.149,0.055999999999999994,0.04,0.035,0.045,0.059000000000000004,0.10400000000000001,0.212,0.038,0.03,0.04,0.049,0.066,0.055999999999999994,0.055,0.048,0.035,0.062,0.09300000000000001,0.052000000000000005,0.04,0.053,0.04,0.032,0.033,0.059000000000000004,0.055999999999999994,0.048,0.07,0.036000000000000004,0.040999999999999995,0.094,0.201,0.452,0.386,0.47200000000000003,0.036000000000000004,0.06,0.5,0.392,0.293,0.733,0.9620000000000001,0.633,0.06
22,32003,4.812,7.212000000000001,7.244,7.206,7.515,7.726,6.229,5.196000000000001,7.005,6.962000000000001,6.922999999999999,7.053999999999999,7.037000000000001,5.073,3.79,5.792999999999999,4.466,2.917,1.469,2.378,0.255,0.078,0.5820000000000001,0.57,0.48,0.475,1.0,0.14300000000000002,0.036000000000000004,0.33,0.402,0.508,0.4,0.8109999999999999,0.114,0.033,0.12300000000000001,0.128,0.09300000000000001,0.121,0.675,0.142,0.028999999999999998,0.244,0.262,0.652,0.62,1.103,0.223,0.046,0.177,0.284,0.2,0.39,0.06,0.035,0.235,0.19,0.4,0.574,1.744,0.6970000000000001,0.23399999999999999,0.359
23,34031,3.022,5.742000000000001,5.382999999999999,5.734,6.107,6.111000000000001,4.664,2.7939999999999996,5.428999999999999,5.318,5.518,5.343999999999999,4.7669999999999995,3.063,1.128,2.926,1.469,1.228,0.75,1.3619999999999999,0.069,0.031,0.033,0.052000000000000005,0.038,0.054000000000000006,0.18,0.028999999999999998,0.025,0.035,0.038,0.040999999999999995,0.043,0.038,0.039,0.03,0.046,0.045,0.037000000000000005,0.032,0.035,0.034,0.027000000000000003,0.026000000000000002,0.045,0.040999999999999995,0.040999999999999995,0.043,0.03,0.03,0.048,0.081,0.07200000000000001,0.055999999999999994,0.067,0.025,0.046,0.36,0.063,0.040999999999999995,0.218,0.354,0.11800000000000001,0.16699999999999998
24,34039,3.315,6.042000000000001,5.8389999999999995,6.435,6.452999999999999,6.572,4.946000000000001,3.304,5.496,5.485,5.476,5.332000000000001,4.666,2.931,1.364,2.908,1.585,1.327,1.18,1.7180000000000002,0.17800000000000002,0.036000000000000004,0.037000000000000005,0.131,0.044000000000000004,0.14800000000000002,0.218,0.031,0.027000000000000003,0.04,0.040999999999999995,0.051,0.052000000000000005,0.046,0.042,0.032,0.055999999999999994,0.055999999999999994,0.045,0.038,0.039,0.039,0.027999999999999997,0.027999999999999997,0.049,0.053,0.049,0.068,0.034,0.033,0.062,0.198,0.177,0.067,0.242,0.027999999999999997,0.059000000000000004,0.48100000000000004,0.19399999999999998,0.091,0.5489999999999999,0.613,0.226,0.134
25,34013,2.551,4.777,4.678,4.748,5.0280000000000005,4.805,3.767,2.5580000000000003,4.416,4.275,4.4430000000000005,4.039,3.805,2.278,0.865,1.9709999999999999,0.706,0.674,0.43700000000000006,1.056,0.063,0.027999999999999997,0.03,0.045,0.034,0.049,0.061,0.027999999999999997,0.023,0.032,0.032,0.036000000000000004,0.035,0.035,0.034,0.027000000000000003,0.037000000000000005,0.04,0.035,0.031,0.031,0.032,0.026000000000000002,0.023,0.037000000000000005,0.037000000000000005,0.036000000000000004,0.038,0.027999999999999997,0.027000000000000003,0.039,0.051,0.053,0.04,0.054000000000000006,0.023,0.038,0.113,0.048,0.038,0.076,0.209,0.054000000000000006,0.043
26,25017,3.972,5.941,5.9910000000000005,5.8629999999999995,6.472,6.755,5.466,3.7960000000000003,5.67,5.742999999999999,5.841,5.4479999999999995,4.728,2.9189999999999996,1.4509999999999998,2.5540000000000003,1.0590000000000002,1.169,0.478,1.625,0.204,0.055,0.066,0.049,0.040999999999999995,0.062,0.225,0.06,0.026000000000000002,0.036000000000000004,0.052000000000000005,0.046,0.04,0.035,0.055999999999999994,0.036000000000000004,0.055,0.057999999999999996,0.04,0.032,0.063,0.057999999999999996,0.035,0.027000000000000003,0.057,0.047,0.045,0.078,0.03,0.047,0.054000000000000006,0.07,0.319,0.057999999999999996,0.38299999999999995,0.033,0.036000000000000004,0.11699999999999999,0.276,0.075,0.363,0.893,0.696,0.136
27,34021,3.8310000000000004,6.119,6.0329999999999995,6.212000000000001,6.523,6.702000000000001,5.461,3.85,6.086,5.89,5.771,5.861000000000001,5.329,3.5010000000000003,1.849,3.128,1.755,1.43,1.0,2.0180000000000002,0.276,0.037000000000000005,0.035,0.096,0.039,0.281,0.413,0.031,0.028999999999999998,0.044000000000000004,0.042,0.065,0.06,0.087,0.052000000000000005,0.04,0.078,0.135,0.051,0.042,0.046,0.057,0.032,0.027999999999999997,0.064,0.055,0.055999999999999994,0.08,0.037000000000000005,0.040999999999999995,0.073,0.326,0.313,0.099,0.424,0.028999999999999998,0.079,0.6,0.306,0.063,0.74,0.993,0.35,0.20600000000000002
28,06001,3.6839999999999997,6.182,6.271,6.209,6.654,6.704,4.869,3.408,5.5,5.8,5.5520000000000005,5.361000000000001,5.254,2.501,1.304,3.7489999999999997,0.451,0.68,0.327,1.1320000000000001,0.052000000000000005,0.046,0.09,0.042,0.22899999999999998,0.098,0.303,0.031,0.027999999999999997,0.05,0.079,0.07400000000000001,0.109,0.28300000000000003,0.028999999999999998,0.022000000000000002,0.031,0.063,0.039,0.040999999999999995,0.35,0.036000000000000004,0.024,0.054000000000000006,0.046,0.069,0.057,0.27,0.042,0.032,0.037000000000000005,0.04,0.039,0.049,0.033,0.026000000000000002,0.036000000000000004,0.034,0.043,0.053,0.316,0.05,0.045,0.037000000000000005
29,06059,4.981,7.135,7.364,7.442,7.8870000000000005,8.122,7.227,5.364,6.972,7.051,7.331,6.632000000000001,6.586,4.355,3.075,5.053999999999999,4.245,3.1830000000000003,2.21,2.966,1.61,0.652,1.349,1.1520000000000001,1.3980000000000001,1.2429999999999999,1.786,0.804,0.222,0.89,0.975,1.124,1.101,1.6469999999999998,0.878,0.047,0.16,0.305,0.6970000000000001,0.078,1.496,0.985,0.032,0.792,0.938,1.234,1.436,2.09,0.745,0.514,0.6859999999999999,0.738,0.688,1.156,0.662,0.069,0.733,0.669,1.081,1.247,2.2840000000000003,1.187,0.9590000000000001,0.948
30,06013,4.277,7.183,7.574,7.593,7.973,8.116,6.104,4.086,6.683,7.319,6.867999999999999,6.667999999999999,6.51,3.24,1.839,4.527,1.008,1.21,0.845,1.8030000000000002,0.442,0.282,0.506,0.20800000000000002,0.613,0.48,1.131,0.042,0.037000000000000005,0.462,0.546,0.504,0.654,1.2,0.039,0.027000000000000003,0.057,0.424,0.354,0.28300000000000003,1.143,0.35700000000000004,0.032,0.485,0.479,0.59,0.62,1.33,0.431,0.142,0.258,0.163,0.168,0.45,0.068,0.036000000000000004,0.096,0.125,0.308,0.424,1.26,0.442,0.462,0.34600000000000003
31,22071,7.721,4.346,3.29,4.966,4.612,4.507,4.42,7.916,5.199,4.045,4.5360000000000005,4.515,5.2,4.703,6.18,4.029,2.551,1.8359999999999999,1.232,1.2819999999999998,0.064,0.05,0.08800000000000001,0.062,0.132,0.188,0.348,0.057999999999999996,0.04,0.052000000000000005,0.065,0.10400000000000001,0.161,0.331,0.055999999999999994,0.04,0.043,0.076,0.078,0.11199999999999999,0.242,0.064,0.034,0.059000000000000004,0.14300000000000002,0.29600000000000004,0.22,0.446,0.040999999999999995,0.037000000000000005,0.79,0.6859999999999999,0.29100000000000004,0.816,0.26,0.064,0.433,0.5589999999999999,0.18600000000000003,1.926,2.104,1.666,0.645,0.667
32,21111,5.769,7.5,7.999,8.076,8.396,8.729,7.028,6.483,7.572,7.732,8.151,7.603,7.5520000000000005,4.018,2.6289999999999996,5.199,4.444,3.533,3.43,4.246,1.224,0.433,2.436,1.286,2.105,1.976,2.233,1.089,0.309,1.3980000000000001,1.0590000000000002,1.188,1.768,2.508,0.985,0.315,1.244,1.2990000000000002,1.344,1.348,2.074,1.092,0.040999999999999995,0.644,0.9129999999999999,1.354,1.724,1.661,1.254,0.084,2.373,3.123,1.6780000000000002,3.0980000000000003,0.915,0.07400000000000001,2.378,2.656,2.167,2.838,4.463,3.195,1.0490000000000002,2.374
33,22051,4.407,6.63,6.84,6.566,7.028,7.516,6.309,4.779,6.582000000000001,6.68,6.809,6.7829999999999995,6.771,4.936,3.286,4.813,3.95,3.247,3.2969999999999997,3.718,1.484,0.8220000000000001,1.786,1.18,1.396,1.4369999999999998,1.67,0.82,0.221,0.9540000000000001,1.13,1.3769999999999998,1.3259999999999998,1.905,0.762,0.364,0.986,1.13,1.472,1.4580000000000002,1.8630000000000002,1.101,0.043,1.5319999999999998,1.508,1.87,1.973,2.603,0.772,0.316,2.7060000000000004,2.653,2.001,3.082,1.8430000000000002,0.971,2.397,2.537,1.8630000000000002,3.3310000000000004,3.995,2.918,2.081,2.452
34,22033,6.303,7.566,7.72,7.318,8.203,9.008,7.882000000000001,6.4670000000000005,7.691,7.632999999999999,8.075,8.095,8.369,6.372000000000001,4.93,6.593999999999999,5.348,4.534,4.723,5.215,2.394,1.2570000000000001,2.9610000000000003,1.308,1.995,1.868,2.335,1.375,0.426,1.413,1.439,1.952,2.049,2.73,1.227,0.528,1.8730000000000002,1.828,1.9680000000000002,2.3169999999999997,2.873,2.049,0.047,2.0540000000000003,2.271,2.6519999999999997,2.8569999999999998,3.6660000000000004,1.79,0.322,3.352,3.42,2.574,3.878,2.687,1.3090000000000002,3.458,2.984,2.978,4.546,5.9639999999999995,4.114,2.625,3.4939999999999998
